"GEOID","frp_z_h.ss","frp_z_h.m","frp_mm_h.ss","frp_mm_h.m","frp_d_h.ss","frp_d_h.m","frp_z_nh.ss","frp_z_nh.m","frp_mm_nh.ss","frp_mm_nh.m","frp_d_nh.ss","frp_d_nh.m","fri_z_h.ss","fri_mm_h.ss","fri_d_h.ss","fri_z_h.m","fri_mm_h.m","fri_d_h.m","fri_z_nh.ss","fri_mm_nh.ss","fri_d_nh.ss","fri_z_nh.m","fri_mm_nh.m","fri_d_nh.m","frp_base","fri_base","frp_range","fri_counts","is_urban"
53021020401,0.952031602708804,0.943566591422122,0.904063205417607,0.905191873589165,0.717268623024831,0.742663656884876,0.985327313769752,0.985327313769752,0.980248306997743,0.981941309255079,0.880925507900677,0.913656884875847,1,1,1,1,1,1,1,1,1,1,1,1,0.88418079096,1,0.268058690744921,13,1
53021020402,0.86568848758465,0.84255079006772,0.775959367945824,0.778216704288939,0.717268623024831,0.69469525959368,0.953160270880361,0.936230248306998,0.892212189616253,0.889390519187359,0.903498871331828,0.860609480812641,1,1,1,1,1,1,1,1,1,1,1,1,0.888983050847,1,0.258465011286681,13,1
53021020403,0.683972911963883,0.766365688487585,0.670993227990971,0.717268623024831,0.585214446952596,0.682279909706546,0.80530474040632,0.849322799097065,0.855530474040632,0.860609480812641,0.816591422121896,0.864559819413093,1,1,0,1,1,1,1,1,1,1,1,1,0.809039548023,1,0.279345372460497,12,1
53021020404,0.860609480812641,0.860609480812641,0.837471783295711,0.844808126410835,0.795146726862302,0.789503386004515,0.938487584650113,0.932279909706546,0.908013544018059,0.909706546275395,0.915914221218962,0.910270880361174,1,1,1,1,1,1,1,1,1,1,1,1,0.838418079096,1,0.148984198645598,13,1
53021020501,0.62979683972912,0.642776523702032,0.674943566591422,0.677765237020316,0.505643340857788,0.598194130925508,0.65293453724605,0.66647855530474,0.586907449209932,0.593679458239278,0.680022573363431,0.709932279909707,0,1,0,0,1,0,1,0,1,1,0,1,0.530508474576,0,0.204288939051919,6,1
53021020503,0.265237020316027,0.380925507900677,0.309255079006772,0.368510158013544,0.141083521444695,0.251128668171558,0.413656884875847,0.493792325056433,0.462189616252822,0.497742663656885,0.367945823927765,0.466139954853273,0,0,0,0,0,0,0,0,0,0,0,0,0.222033898305,0,0.35665914221219,0,1
53021020504,0.613995485327314,0.66647855530474,0.610609480812641,0.648984198645598,0.684537246049661,0.729119638826185,0.681151241534989,0.717832957110609,0.663092550790068,0.688487584650113,0.720090293453725,0.741534988713318,0,0,1,1,0,1,1,1,1,1,1,1,0.705649717514,1,0.130925507900677,10,1
53021020603,0.718397291196388,0.717832957110609,0.717268623024831,0.721783295711061,0.625846501128668,0.601015801354402,0.673814898419865,0.672121896162528,0.571106094808126,0.576185101580135,0.590857787810384,0.586343115124153,1,1,0,1,1,0,1,0,0,1,0,0,0.659322033898,1,0.150677200902935,7,1
53021020605,0.449774266365689,0.49097065462754,0.383182844243792,0.420428893905192,0.456546275395034,0.54176072234763,0.391083521444695,0.409142212189616,0.302483069977427,0.331264108352144,0.414221218961625,0.445823927765237,0,0,0,0,0,0,0,0,0,0,0,0,0.488418079096,0,0.239277652370203,0,1
53021020606,0.608352144469526,0.61568848758465,0.654063205417607,0.650112866817156,0.542889390519187,0.586907449209932,0.642212189616253,0.64334085778781,0.614559819413093,0.619638826185102,0.538939051918736,0.585214446952596,0,1,0,0,1,0,0,0,0,0,0,0,0.280508474576,0,0.373554730841607,2,1
